objectid,facilityid,name,length,width,surftype,hiking,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,ownedby,maintby,status,trail_type,slope,created_user,last_edited_user,county,council_district,last_edited_date,created_date,installdate,shape_Length
339,3912,,10889.98760692,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/05/16 01:37:08+00,,10886.4910073709
340,39,,7992.58786285,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Sarpy,,2022/12/08 14:10:30+00,2014/12/04 22:33:40+00,,7989.98218124818
341,3998,,3667.08631041,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/13 01:57:13+00,,3665.88874996074
342,4038,,2920.89915664,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/05/16 01:01:18+00,,2919.9581736066
343,3955,Lake Zorinsky Trail,6274.90262299,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 19:25:57+00,,6272.83998969237
344,4040,,293.44278729,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/05/16 01:40:28+00,,293.348368410033
345,37,Standing Bear Lake Trail,2243.79333235,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:07:59+00,2014/12/04 22:33:40+00,,2243.04023013947
346,278,Martin Luther King Pedestrian Bridge,1192.43600445,,,,,,,,,,,,,,,,Existing,Multi-Use,,GIS,jechezem,Douglas,,2022/12/08 14:07:59+00,2016/11/01 19:38:27+00,,1192.03977160274
347,3548, ,494.2322863,10,Concrete, , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/04/01 01:10:23+00,,494.072848686116
348,3952,,688.98423899,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:30+00,2017/05/16 01:26:21+00,,688.761412120744
349,4017,Glenn Cunningham Lake Trail,452.14027054,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/16 02:13:50+00,,451.987835352938
350,3993,Lake Zorinsky Trail,473.29485378,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 20:16:36+00,,473.139112244914
351,3545, ,939.36028606,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,939.058238468489
352,10934,Keystone Trail,5959.57745089,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Sarpy,,2022/12/08 14:10:31+00,2022/09/07 15:33:37+00,,5957.63656743998
353,4072,Riverfront Trail,12998.3241229,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Washington,,2022/12/08 14:05:58+00,2017/05/13 00:14:24+00,,12993.904586154
354,3897,,2553.31123504,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/16 02:26:32+00,,2552.44963258472
355,3542, ,187.97134342,10,Concrete, , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,187.910076079982
356,4041,One Pacific Place Park Trail,33.38670383,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:42+00,2017/05/15 18:27:36+00,,33.3757877154799
357,4096,Lake Zorinsky Trail,2551.58209914,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 19:14:35+00,,2550.74253930976
358,96,Elkhorn,20410.73173591,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:07:59+00,2014/12/04 22:33:40+00,,20403.9225513068
359,4047,Lake Zorinsky Trail,84.35517459,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:44+00,2017/05/15 20:04:47+00,,84.3276295359271
360,4033,,2619.59301133,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 21:07:38+00,,2618.71736378616
361,3948,Lake Zorinsky Trail,1529.41491139,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 19:42:49+00,,1528.91233707996
362,4020,Burt St Trail,3941.74080818,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/13 02:25:57+00,,3940.42921358757
363,3995,Walnut Grove Park,131.2046154,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/15 19:10:12+00,,131.161621024495
364,3915,,9961.93995444,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 21:38:22+00,,9958.61768134076
365,158,144th Street South,900.04932543,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/12/08 14:01:23+00,,899.751689934367
366,4938,Flanagan Lake Trail,5058.85849687,,,,,,,,,,,,,,,,Existing,,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2020/05/13 15:36:49+00,,5057.15871992232
367,3953,S 13th St Trail,3236.20611677,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/13 01:51:34+00,,3235.14542798548
368,3982,Keystone Trail,3434.31468661,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/16 18:42:04+00,,3433.17441357967
369,3540, ,497.13185708,10,Concrete, , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,496.971899623918
370,4103,Riverfront Trail,8056.65368271,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Washington,,2022/12/08 14:05:58+00,2017/05/13 00:18:32+00,,8053.90940586217
371,3974,Lake Zorinsky Trail,1388.45805444,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 19:16:44+00,,1388.00122518799
372,3930,Big Papio South,2664.42234414,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:07:59+00,2017/05/15 18:29:24+00,,2663.53872264147
373,4045,Lawrence Youngman Lake Park Trail,202.9819354,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:43+00,2017/05/15 20:29:21+00,,202.914105859828
374,10136,144th Street South,11802.39168791,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/09/07 15:31:18+00,,11798.5228141602
375,117,Big Papio South,44420.21733867,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:07:59+00,2014/12/04 22:33:40+00,,44405.586067062
376,10132,Saddlebrook Park Trail,846.13720397,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:07:59+00,2022/09/07 15:07:25+00,,845.852429351015
377,4524,Mission Park,165.46475761,,,,,,,,,,,,,,,,Existing,Multi-Use,,JECHEZEM,jechezem,Douglas,,2022/12/08 14:08:00+00,2019/03/19 20:02:45+00,,165.41067537335
378,3493,Hickory,1069.25434152,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,1068.90621460032
379,4049,Mission Park West,510.54136954,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:48:09+00,,510.374610144319
380,3992,Keystone Trail,13194.63881722,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 18:59:31+00,,13190.3699658556
381,3925,,1953.5492617,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:25:33+00,,1952.89862968353
382,3961,Lake Zorinsky Trail,566.44949534,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:09:09+00,,566.262986973827
383,158,144th Street South,5359.658345,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2022/12/08 14:01:26+00,,5357.8792379642
384,43,Turner Blvd connector,6238.17257657,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:08:00+00,2014/12/04 22:33:40+00,,6236.10412667464
385,10155,Fur Trader Road,997.91746793,,,Yes,No,No,No,No,No,No,No,No,Intermediate,,,,Existing,Park Trail,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2022/12/06 20:59:43+00,,997.678605999207
386,158,144th Street South,2626.32517375,,,,,,,,,,,,,,,,Existing,Multi-Use,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2022/12/08 14:01:26+00,,2556.87741201767
387,3911,,228.21123562,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,,,2022/12/08 13:49:54+00,2017/05/13 02:04:09+00,,228.13622710061
388,4031,,2073.29985606,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/13 02:52:08+00,,2072.60257613599
389,3515,Pond,1082.51502802,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,1082.1634540653
390,3923,,8117.6187736,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 01:16:59+00,,8114.99628847555
391,4114,,716.65659431,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/05/16 00:45:07+00,,716.423847508814
392,71,Arbor St Trail,1184.26341012,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:08:00+00,2014/12/04 22:33:40+00,,1183.87211597338
393,3984,180th St Trail,450.26145147,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:37:54+00,,450.112022409448
394,10153,Ridgeline Cutoff,459.52802671,,,Yes,No,No,No,No,No,No,No,No,Easy,,,,Existing,Park Trail,,jechezem,jechezem,Douglas,,2022/12/08 14:08:00+00,2022/12/06 20:59:42+00,,459.378446341729
395,3537, ,1034.45095007,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,1034.12133690038
396,3939,Keystone Trail,283.25681318,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:03+00,2017/05/13 02:44:51+00,,283.161307365103
397,3950,,18865.07819518,,,,,,,,,,,,,,,,Proposed,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/15 20:59:01+00,,18858.7622498991
398,4011,Glenn Cunningham Lake Trail,296.11587896,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,Douglas,,2022/12/08 14:08:00+00,2017/05/16 02:15:04+00,,296.01566616322
399,3487,Hawthorn,649.95268524,, , , , , , , , , , , , ,,,,,,GIS,jechezem,Sarpy,,2022/12/08 14:10:31+00,2017/04/01 01:10:23+00,,649.74083409951
400,4023,,134.60673243,,,,,,,,,,,,,,,,Existing,,,gis,jechezem,,,2022/12/08 13:50:36+00,2017/05/16 01:50:28+00,,134.563807194431
401,121,Adams Park,3411.55476965,,,,,,,,,,,,,,,,Existing,Multi-Use,,MLSCHONLAU,jechezem,Douglas,,2022/12/08 14:08:00+00,2014/12/04 22:33:40+00,,3410.41589606551
